id,created_at,text
871775361792716800,2017-06-05 17:06:57,"Daily Deal - Mark of the Ninja, 80% Off #SteamDailyDeal https://t.co/Uqe2XgzhPk https://t.co/83fDKQGhX8"
871413203707850752,2017-06-04 17:07:52,"Daily Deal - Orwell, 40% Off #SteamDailyDeal https://t.co/VkEugkCFvk https://t.co/aQoL4zkFc0"
871050320599818242,2017-06-03 17:05:54,"Daily Deal - Sheltered, 75% Off #SteamDailyDeal https://t.co/U3DfuqXYsk https://t.co/73V3GszQRO"
870689598501928961,2017-06-02 17:12:31,Now Available on Steam - Blitzkrieg 3 #SteamNewRelease https://t.co/A6uGNZzPce https://t.co/4aD8g9F95W
870640904289349632,2017-06-02 13:59:01,"Now Available on Steam - AereA, 15% off! #SteamNewRelease https://t.co/bfaAhgMKfz https://t.co/KIszKgxjrU"
870413867784040448,2017-06-01 22:56:52,"Now Available on Steam - Ultimate Epic Battle Simulator, 10% off! #SteamNewRelease https://t.co/tmhLoU5vYM https://t.co/Ngnz0jhHDG"
870402753432088576,2017-06-01 22:12:42,Now Available on Steam - TEKKEN 7 #SteamNewRelease https://t.co/Q9BB7PPjef https://t.co/Vh8RTTuqgE
870327817124315137,2017-06-01 17:14:56,"Weekend Deal - ABZU, 50% Off #WeekendDeal https://t.co/Sh5WHKv6q5 https://t.co/nxMJlfECla"
870327794189860866,2017-06-01 17:14:50,"Daily Deal - Planet Explorers, 50% Off #SteamDailyDeal https://t.co/bWgBBP9jkM https://t.co/tjqeCge5fw"
870039998241943556,2017-05-31 22:11:14,"Now Available on Steam - Oh...Sir! The Hollywood Roast, 15% off! #SteamNewRelease https://t.co/8eq7dXf3HM https://t.co/Mp6A0yekxo"
869986184021372929,2017-05-31 18:37:24,"Now Available on Steam - Rezrog, 10% off! #SteamNewRelease https://t.co/Y03lLjtwa9 https://t.co/Z2hU2gZVgZ"
869982284514029568,2017-05-31 18:21:54,Now Available on Steam - The Elder ScrollsÂ®: Legendsâ„¢ #SteamNewRelease https://t.co/pbKepHFEBA https://t.co/zuXZ2Epj75
869963512625352704,2017-05-31 17:07:19,"Daily Deal - Quantum Break, 50% Off #SteamDailyDeal https://t.co/RTTUL1JZFB https://t.co/hEHMazSWmQ"
869651129298296832,2017-05-30 20:26:01,"Now Available on Steam - The Long Journey Home, 10% off! #SteamNewRelease https://t.co/0iiwwOTgfL https://t.co/Z3ML4p015Q"
869620827620347904,2017-05-30 18:25:36,Pre-Purchase Now - The Golf Club 2â„¢ #PrePurchase @thegolfclubgame #TGC2 https://t.co/pF4UeHDwS0 https://t.co/yj5DTdIcGB
869605790440710145,2017-05-30 17:25:51,"Midweek Madness - Verdun, 70% Off #MidweekMadness https://t.co/6SzsxDdR7J https://t.co/9YxHEUxq8f"
869605786787475458,2017-05-30 17:25:50,"Now Available on Steam - Lock's Quest, 20% off! #SteamNewRelease https://t.co/wdDaaTxKfb https://t.co/UVSpSs0LYi"
869605782819676162,2017-05-30 17:25:49,Now Available on Steam - MXGP3 - The Official Motocross Videogame #SteamNewRelease https://t.co/uqEjPCQMnl https://t.co/dVqw7ougQS
869605778650431490,2017-05-30 17:25:48,Now Available on Steam - Giant Cop: Justice Above All #SteamNewRelease https://t.co/7fZCKFPka7 https://t.co/tTx2UWnX11
869601622556499968,2017-05-30 17:09:17,"Daily Deal - CrossCode, 30% Off #SteamDailyDeal https://t.co/BWi8wVGs8A https://t.co/RIYtZGOyP4"
